hood,tree_count,sqmiles,trees_per_sq_mi,total_benefits_dollars,benefits_per_acre,green_space_score
Allegheny Center,863,0.20893682,4130.435219603706,147912.8098973537,1106.141863318295,100.0
Friendship,356,0.10619141,3352.436887315085,25648.90560409952,377.3978880440344,62.35
Allegheny West,384,0.1447943,2652.0380981848043,54863.15453083044,592.0376595117525,59.93
Highland Park,2914,1.16986009,2490.896154941058,407317.417576471,544.0252824504672,55.86
Regent Square,431,0.1962188,2196.527549857608,59070.14902970667,470.3785243485205,48.92
Central Northside,658,0.2596781,2533.906401810549,53786.70899354991,323.6381258040108,48.51
Manchester,695,0.27904856,2490.605936113772,59147.24034107412,331.1881026600696,48.16
East Liberty,1335,0.58137897,2296.264689450325,102570.4067560905,275.6657325163208,43.32
Crawford-Roberts,563,0.25134182,2239.9774140252507,42771.53830925128,265.89497766529087,42.15
Squirrel Hill South,5033,2.67660534,1880.3668679821135,699252.0852428576,408.1966691021372,42.08
Squirrel Hill North,2033,1.22340867,1661.750525276235,315094.2875401859,402.42875288591506,38.69
Bloomfield,1392,0.70193062,1983.1019766597447,113356.29488504973,252.33150680072114,37.93
Point Breeze North,556,0.30192069,1841.5432211684467,57921.21474065972,299.75388296539893,37.59
Shadyside,1510,0.92016097,1641.0172233234366,166934.91344021854,283.46758009518385,34.09
South Side Flats,1631,0.9243167,1764.5467186733724,115952.67823674642,196.01080418625807,32.72
North Oakland,767,0.49700201,1543.2533160177763,81054.41408212084,254.82295979793497,31.63
East Allegheny,379,0.23491555,1613.3457321152218,32538.87992514049,216.4267082071488,31.26
North Shore,456,0.29702305,1535.2343866915378,43977.16853900705,231.3434092188423,30.67
Knoxville,425,0.29962465,1418.441373231475,50778.99574424332,264.80524982154907,30.18
Central Business District,992,0.64563198,1536.479032528717,87071.02758919093,210.72141009867184,29.94
Point Breeze,1302,1.00339225,1297.5982224299619,170153.6453361986,264.96623824257136,28.43
Central Oakland,367,0.28004652,1310.496556072184,45748.47472844142,255.25041576100392,28.27
Garfield,599,0.45738457,1309.6200424950935,52719.47246364615,180.09828264221304,25.54
Morningside,451,0.37460783,1203.9257161282508,36043.4304503715,150.33818086640363,22.93
Lower Lawrenceville,499,0.42994414,1160.6158883802907,40424.535872348,146.91056727704503,22.17
Homewood South,446,0.38714814,1152.01380019545,33866.34385177775,136.68194733183398,21.68
Stanton Heights,681,0.73818889,922.528107948089,104939.38792725663,222.12172966147037,21.43
Middle Hill,338,0.3051406,1107.686096179925,23054.23265544689,118.05127912889407,20.36
Bedford Dwellings,198,0.1756743,1127.085749025327,12049.05809625002,107.16794299159358,20.25
East Hills,467,0.5405573,863.923214060748,59864.5260523649,173.04053139879278,18.81
Polish Hill,268,0.25616424,1046.2037948778486,15614.57949863047,95.2427272387903,18.64
Greenfield,719,0.77443557,928.4180993907602,67878.03476603459,136.95061710455278,18.44
Perry North,999,1.20991298,825.6792153762992,136752.63583410758,176.60443084867953,18.38
Upper Lawrenceville,363,0.40389265,898.7536663516902,35840.965528994,138.65443689624053,18.07
Homewood North,382,0.4325542,883.1263226666161,33156.64346291676,119.77055246343278,17.16
Brighton Heights,874,1.11702235,782.4373433530671,94144.13475059158,131.68958549093765,16.13
Terrace Village,261,0.32464368,803.9583582837652,22303.25055971863,107.34485537743224,15.56
Mount Washington,835,1.13253078,737.2868046906416,69941.94708762992,96.49564912816729,14.2
Chateau,270,0.38251231,705.8596362558893,25830.572036993988,105.51364685391145,14.07
Strip District,460,0.60818856,756.3443810912853,29888.85296215166,76.78758824757738,13.76
Larimer,304,0.44518392,682.8638374899075,28471.60904641304,99.92923734405922,13.53
Central Lawrenceville,703,0.96011221,732.2060824536331,41614.20903955436,67.72354444365092,13.09
Bluff,217,0.32526123,667.1560579168935,15966.42632557007,76.70001369957998,12.46
West End,125,0.19456581,642.4561437592761,9164.610211921039,73.59825267282119,11.99
Swisshelm Park,245,0.47358963,517.3255166081234,32322.7989769487,106.6416380422673,11.37
Upper Hill,174,0.31318888,555.575280961444,15790.5057827897,78.77886807996005,10.92
Crafton Heights,354,0.75131668,471.17282155907947,37579.74718036028,78.15393534436281,9.67
Banksville,435,0.97761942,444.9584276875351,54357.139705821566,86.87739691912091,9.61
Homewood West,90,0.19520326,461.0578737260843,7605.10701078854,60.8749030007373,8.9
Carrick,730,1.6695299,437.2488327402822,71124.59980058948,66.56495778685405,8.76
South Oakland,223,0.48395839,460.7834156981967,17585.93198416846,56.777647077465524,8.75
California-Kirkbride,92,0.21689151,424.17520169415576,8742.93345761959,62.98463872372442,8.44
Sheraden,377,0.88763301,424.72507866736504,34801.6957378902,61.2614100592541,8.39
Brookline,811,2.08892976,388.23708462078685,93813.95946381478,70.17196763361396,8.18
Perry South,349,0.90634615,385.0625944623917,41218.6314280127,71.05906647235493,8.16
Beechview,587,1.45920135,402.2748471278484,59219.78117853505,63.41202180693843,8.14
Westwood,257,0.69044344,372.22455180398265,31313.68291359629,70.86406637545488,7.97
Oakwood,92,0.25238278,364.52566217077094,11289.34016893492,69.8922256783331,7.82
Marshall-Shadeland,477,1.25407261,380.36075120084155,49566.93403939652,61.75745617338675,7.76
Fineview,87,0.24848933,350.1156367559122,11713.650715612,73.65539179380099,7.75
Hazelwood,614,1.6052427,382.4966779166789,57361.68010034675,55.8343141999209,7.58
Troy Hill,203,0.46091418,440.4290620870028,8387.9552577676,28.43518497587174,7.43
Beltzhoover,162,0.41539974,389.98580018369773,12154.04725577546,45.71668495924319,7.32
Lincoln-Lemington-Belmar,516,1.81810116,283.8125904941395,72837.00105836634,62.5970745723248,6.39
Overbrook,255,0.83649724,304.8426077293453,28955.5110454144,54.08623451670558,6.38
West Oakland,78,0.23352997,334.0042393702187,5404.71144903528,36.16179022343427,6.16
Chartiers City,36,0.13401531,268.6260248922306,4716.5223998844,54.99047846613585,5.89
Windgap,115,0.41693436,275.82279378461396,13818.656419234678,51.786691054512666,5.88
Elliott,164,0.60589038,270.67602558733483,17620.23412659736,45.43992866735836,5.58
Lincoln Place,255,0.98153251,259.79781352326273,31083.366084492918,49.48155980606206,5.56
South Side Slopes,215,0.72306013,297.34733126552004,14405.2728343658,31.12913843750526,5.45
