hood,total_crimes,violent_crimes,property_crimes,minor_crimes,sqmiles,crimes_per_sq_mi,severity_per_sq_mi,safety_score
Central Northside,0.0,0.0,0.0,0.0,0.2596781,0.0,0.0,100.0
Mt. Oliver,0.0,0.0,0.0,0.0,0.10329752,0.0,0.0,100.0
New Homestead,13.0,5.0,1.0,0.0,0.78997174,16.456284879254035,21.519757149793737,99.4
Hays,45.0,14.0,6.0,2.0,1.74509782,25.786520093183086,32.08989167151673,99.08
East Carnegie,12.0,4.0,2.0,2.0,0.43345506,27.684530894621464,41.5267963419322,98.92
Ridgemont,12.0,1.0,5.0,0.0,0.3576487,33.552477612808325,36.34851741387568,98.86
Swisshelm Park,16.0,7.0,1.0,0.0,0.47358963,33.78452353359173,48.56525257953811,98.71
Summer Hill,17.0,4.0,3.0,5.0,0.44189436,38.47073314083484,52.048638955247135,98.57
Point Breeze,61.0,12.0,12.0,6.0,1.00339225,60.7937723258277,65.77686841810866,97.94
Fairywood,50.0,25.0,10.0,2.0,0.96959084,51.568143939973695,100.04219924354896,97.71
St. Clair,20.0,6.0,4.0,1.0,0.31105594,64.29711646078837,86.8011072220643,97.61
Squirrel Hill North,99.0,17.0,18.0,12.0,1.22340867,80.92144712363368,80.92144712363368,97.35
Regent Square,15.0,4.0,3.0,2.0,0.1962188,76.44527435699331,101.92703247599108,97.18
Squirrel Hill South,250.0,58.0,50.0,37.0,2.67660534,93.40189091904001,116.19195230328577,96.65
Stanton Heights,60.0,30.0,5.0,3.0,0.73818889,81.28000951084485,139.53068299361698,96.61
Duquesne Heights,60.0,20.0,6.0,2.0,0.61955559,96.84361011091836,119.44045247013266,96.54
Perry North,108.0,53.0,11.0,6.0,1.20991298,89.26261787851884,154.55656984521318,96.26
Banksville,102.0,35.0,11.0,9.0,0.97761942,104.33507959569788,139.11343946093052,96.15
Westwood,74.0,22.0,12.0,10.0,0.69044344,107.17749740659423,144.83445595485708,96.02
Lincoln Place,93.0,41.0,18.0,9.0,0.98153251,94.7497908143664,171.16091243885543,95.94
Highland Park,169.0,29.0,21.0,12.0,1.16986009,144.46171934970445,120.52723330359957,95.56
Central Lawrenceville,108.0,40.0,23.0,4.0,0.96011221,112.48685192744294,177.0626372931972,95.51
Oakwood,27.0,14.0,2.0,3.0,0.25238278,106.98035737620452,194.14953746051933,95.41
Windgap,48.0,23.0,5.0,0.0,0.41693436,115.12603566662148,189.47826703464784,95.3
Morningside,49.0,19.0,6.0,6.0,0.37460783,130.80345918023124,200.2093762962723,94.85
Upper Lawrenceville,51.0,26.0,6.0,0.0,0.40389265,126.27117626428705,222.83148752521245,94.66
Overbrook,133.0,59.0,10.0,2.0,0.83649724,158.99634050197224,237.8967801495675,93.8
Chartiers City,18.0,12.0,1.0,0.0,0.13401531,134.3130124461153,283.549692941799,93.74
Spring Garden,42.0,18.0,7.0,3.0,0.26710302,157.24269983918563,265.8150402043376,93.49
Lower Lawrenceville,88.0,23.0,20.0,5.0,0.42994414,204.67775185864843,265.15072399870365,92.54
Glen Hazel,77.0,43.0,8.0,7.0,0.45746307,168.31959790765185,332.26725820731275,92.44
Polish Hill,52.0,17.0,17.0,5.0,0.25616424,202.99476617032886,351.33709529479995,91.5
Beechview,337.0,121.0,34.0,27.0,1.45920135,230.94825124716337,313.8703236534149,91.39
Greenfield,192.0,57.0,33.0,26.0,0.77443557,247.92249663842276,339.60216987450616,90.73
Brookline,519.0,195.0,75.0,45.0,2.08892976,248.45258559579332,373.3969494503252,90.3
Allegheny West,43.0,7.0,10.0,3.0,0.1447943,296.97301620298595,303.87936541700884,90.18
Strip District,166.0,33.0,57.0,13.0,0.60818856,272.941667959029,371.5952828839793,89.82
Lincoln-Lemington-Belmar,490.0,137.0,117.0,43.0,1.81810116,269.511956089396,378.4167873255193,89.81
South Oakland,130.0,48.0,14.0,16.0,0.48395839,268.61813471195325,388.4631486603631,89.7
Arlington,112.0,68.0,10.0,7.0,0.47997549,233.34524852508613,481.27457508299017,89.26
Esplen,76.0,17.0,12.0,7.0,0.23111759,328.83693534533654,354.7977460304947,88.89
